eCO2;TVOC;Time
536;20;1517976300
536;20;1517976330
536;20;1517976360
519;18;1517976390
519;18;1517976420
531;19;1517976450
531;19;1517976480
519;18;1517976510
526;19;1517976540
519;18;1517976570
519;18;1517976600
514;17;1517976630
519;18;1517976660
519;18;1517976690
514;17;1517976720
503;15;1517976750
503;15;1517976780
503;15;1517976810
503;15;1517976840
498;14;1517976870
496;14;1517976900
498;14;1517976930
498;14;1517976960
498;14;1517976990
487;13;1517977020
496;14;1517977050
496;14;1517977080
496;14;1517977110
487;13;1517977140
487;13;1517977170
487;13;1517977200
487;13;1517977230
477;11;1517977260
482;12;1517977290
477;11;1517977320
482;12;1517977350
482;12;1517977380
482;12;1517977410
477;11;1517977440
464;9;1517977470
477;11;1517977500
464;9;1517977530
475;11;1517977560
475;11;1517977590
475;11;1517977620
475;11;1517977650
475;11;1517977680
460;9;1517977710
457;8;1517977740
464;9;1517977770
464;9;1517977800
457;8;1517977830
457;8;1517977860
452;7;1517977890
457;8;1517977920
452;7;1517977950
457;8;1517977980
457;8;1517978010
445;6;1517978040
457;8;1517978070
457;8;1517978100
452;7;1517978130
457;8;1517978160
452;7;1517978190
452;7;1517978220
443;6;1517978250
452;7;1517978280
445;6;1517978310
445;6;1517978340
445;6;1517978370
443;6;1517978400
443;6;1517978430
433;5;1517978460
438;5;1517978490
427;4;1517978520
438;5;1517978550
427;4;1517978580
438;5;1517978610
422;3;1517978640
433;5;1517978670
433;5;1517978700
427;4;1517978730
433;5;1517978760
433;5;1517978790
433;5;1517978820
427;4;1517978850
418;2;1517978880
427;4;1517978910
422;3;1517978940
414;2;1517978970
422;3;1517979000
422;3;1517979030
422;3;1517979060
418;2;1517979090
418;2;1517979120
418;2;1517979150
414;2;1517979180
414;2;1517979210
414;2;1517979240
414;2;1517979270
405;0;1517979300
414;2;1517979330
405;0;1517979360
414;2;1517979390
400;0;1517979420
414;2;1517979450
410;1;1517979480
410;1;1517979510
410;1;1517979540
405;0;1517979570
408;1;1517979600
400;0;1517979630
400;0;1517979660
400;0;1517979690
408;1;1517979720
408;1;1517979750
413;1;1517979780
400;0;1517979810
400;0;1517979840
409;1;1517979870
400;0;1517979900
405;0;1517979930
409;1;1517979960
405;0;1517979990
405;0;1517980020
414;2;1517980050
409;1;1517980080
409;1;1517980110
405;0;1517980140
400;0;1517980170
409;1;1517980200
411;1;1517980230
400;0;1517980260
407;1;1517980290
407;1;1517980320
400;0;1517980350
407;1;1517980380
400;0;1517980410
407;1;1517980440
400;0;1517980470
400;0;1517980500
402;0;1517980530
402;0;1517980560
400;0;1517980590
400;0;1517980620
400;0;1517980650
409;1;1517980680
400;0;1517980710
402;0;1517980740
409;1;1517980770
400;0;1517980800
414;2;1517980830
414;2;1517980860
405;0;1517980890
414;2;1517980920
414;2;1517980950
407;1;1517980980
407;1;1517981010
407;1;1517981040
407;1;1517981070
407;1;1517981100
400;0;1517981130
408;1;1517981160
408;1;1517981190
408;1;1517981220
408;1;1517981250
403;0;1517981280
403;0;1517981310
408;1;1517981340
400;0;1517981370
400;0;1517981400
408;1;1517981430
408;1;1517981460
408;1;1517981490
400;0;1517981520
405;0;1517981550
408;1;1517981580
408;1;1517981610
408;1;1517981640
400;0;1517981670
408;1;1517981700
403;0;1517981730
400;0;1517981760
408;1;1517981790
408;1;1517981820
400;0;1517981850
408;1;1517981880
408;1;1517981910
408;1;1517981940
400;0;1517981970
408;1;1517982000
405;0;1517982030
400;0;1517982060
400;0;1517982090
408;1;1517982120
405;0;1517982150
408;1;1517982180
407;1;1517982210
411;1;1517982240
411;1;1517982270
411;1;1517982300
407;1;1517982330
405;0;1517982360
400;0;1517982390
407;1;1517982420
405;0;1517982450
400;0;1517982480
410;1;1517982510
403;0;1517982540
408;1;1517982570
408;1;1517982600
408;1;1517982630
408;1;1517982660
400;0;1517982690
408;1;1517982720
410;1;1517982750
410;1;1517982780
408;1;1517982810
408;1;1517982840
408;1;1517982870
408;1;1517982900
408;1;1517982930
408;1;1517982960
403;0;1517982990
409;1;1517983020
409;1;1517983050
409;1;1517983080
409;1;1517983110
400;0;1517983140
409;1;1517983170
409;1;1517983200
400;0;1517983230
409;1;1517983260
409;1;1517983290
400;0;1517983320
409;1;1517983350
409;1;1517983380
413;1;1517983410
409;1;1517983440
400;0;1517983470
409;1;1517983500
403;0;1517983530
403;0;1517983560
403;0;1517983590
408;1;1517983620
400;0;1517983650
411;1;1517983680
408;1;1517983710
408;1;1517983740
403;0;1517983770
408;1;1517983800
408;1;1517983830
408;1;1517983860
403;0;1517983890
400;0;1517983920
414;2;1517983950
409;1;1517983980
400;0;1517984010
409;1;1517984040
409;1;1517984070
409;1;1517984100
406;0;1517984130
400;0;1517984160
409;1;1517984190
409;1;1517984220
409;1;1517984250
409;1;1517984280
403;0;1517984310
403;0;1517984340
410;1;1517984370
402;0;1517984400
407;1;1517984430
400;0;1517984460
407;1;1517984490
400;0;1517984520
400;0;1517984550
407;1;1517984580
407;1;1517984610
407;1;1517984640
407;1;1517984670
400;0;1517984700
402;0;1517984730
407;1;1517984760
407;1;1517984790
400;0;1517984820
409;1;1517984850
400;0;1517984880
411;1;1517984910
400;0;1517984940
400;0;1517984970
409;1;1517985000
402;0;1517985030
402;0;1517985060
402;0;1517985090
402;0;1517985120
400;0;1517985150
400;0;1517985180
406;0;1517985210
410;1;1517985240
408;1;1517985270
408;1;1517985300
408;1;1517985330
408;1;1517985360
408;1;1517985390
408;1;1517985420
405;0;1517985450
405;0;1517985480
405;0;1517985510
400;0;1517985540
405;0;1517985570
405;0;1517985600
400;0;1517985630
413;1;1517985660
413;1;1517985690
413;1;1517985720
400;0;1517985750
400;0;1517985780
400;0;1517985810
408;1;1517985840
405;0;1517985870
413;1;1517985900
408;1;1517985930
408;1;1517985960
400;0;1517985990
400;0;1517986020
408;1;1517986050
400;0;1517986080
408;1;1517986110
408;1;1517986140
400;0;1517986170
400;0;1517986200
409;1;1517986230
409;1;1517986260
409;1;1517986290
409;1;1517986320
409;1;1517986350
409;1;1517986380
400;0;1517986410
409;1;1517986440
411;1;1517986470
411;1;1517986500
411;1;1517986530
411;1;1517986560
411;1;1517986590
411;1;1517986620
411;1;1517986650
411;1;1517986680
400;0;1517986710
400;0;1517986740
407;1;1517986770
407;1;1517986800
402;0;1517986830
406;0;1517986860
406;0;1517986890
406;0;1517986920
406;0;1517986950
406;0;1517986980
406;0;1517987010
406;0;1517987040
406;0;1517987070
406;0;1517987100
406;0;1517987130
406;0;1517987160
406;0;1517987190
406;0;1517987220
403;0;1517987250
408;1;1517987280
408;1;1517987310
408;1;1517987340
408;1;1517987370
408;1;1517987400
408;1;1517987430
408;1;1517987460
413;1;1517987490
405;0;1517987520
413;1;1517987550
400;0;1517987580
413;1;1517987610
413;1;1517987640
413;1;1517987670
409;1;1517987700
409;1;1517987730
409;1;1517987760
409;1;1517987790
409;1;1517987820
409;1;1517987850
409;1;1517987880
409;1;1517987910
400;0;1517987940
409;1;1517987970
400;0;1517988000
405;0;1517988030
414;2;1517988060
405;0;1517988090
414;2;1517988120
414;2;1517988150
414;2;1517988180
400;0;1517988210
409;1;1517988240
409;1;1517988270
409;1;1517988300
409;1;1517988330
409;1;1517988360
409;1;1517988390
409;1;1517988420
409;1;1517988450
408;1;1517988480
408;1;1517988510
408;1;1517988540
413;1;1517988570
417;2;1517988600
425;3;1517988630
425;3;1517988660
417;2;1517988690
425;3;1517988720
425;3;1517988750
425;3;1517988780
421;3;1517988810
421;3;1517988840
413;1;1517988870
421;3;1517988900
421;3;1517988930
421;3;1517988960
421;3;1517988990
421;3;1517989020
413;1;1517989050
421;3;1517989080
421;3;1517989110
421;3;1517989140
417;2;1517989170
421;3;1517989200
421;3;1517989230
421;3;1517989260
421;3;1517989290
417;2;1517989320
421;3;1517989350
413;1;1517989380
421;3;1517989410
421;3;1517989440
413;1;1517989470
413;1;1517989500
421;3;1517989530
421;3;1517989560
413;1;1517989590
421;3;1517989620
408;1;1517989650
421;3;1517989680
417;2;1517989710
421;3;1517989740
421;3;1517989770
421;3;1517989800
421;3;1517989830
421;3;1517989860
413;1;1517989890
