Temperature\t;Humidity\t;Pressure\t;Time
23.08\t;43.18\t;984.14\t;1517964180
23.78\t;43.13\t;984.01\t;1517964210
23.78\t;43.43\t;984.12\t;1517964240
23.78\t;44.50\t;984.16\t;1517964270
23.79\t;43.97\t;984.13\t;1517964300
23.77\t;43.51\t;984.11\t;1517964330
23.08\t;43.44\t;984.05\t;1517964360
23.77\t;43.44\t;984.04\t;1517964390
23.78\t;42.97\t;984.05\t;1517964420
23.08\t;43.88\t;983.97\t;1517964450
23.78\t;43.24\t;984.04\t;1517964480
23.76\t;43.32\t;984.00\t;1517964510
23.78\t;41.90\t;983.99\t;1517964540
23.78\t;43.42\t;983.90\t;1517964570
23.77\t;44.91\t;983.97\t;1517964600
23.77\t;43.46\t;983.94\t;1517964630
23.78\t;40.95\t;983.98\t;1517964660
23.78\t;43.38\t;983.99\t;1517964690
23.79\t;43.36\t;983.90\t;1517964720
23.78\t;44.26\t;984.01\t;1517964750
23.77\t;43.51\t;983.95\t;1517964780
23.77\t;43.37\t;983.91\t;1517964810
23.79\t;42.85\t;984.01\t;1517964840
23.79\t;42.60\t;983.98\t;1517964870
23.78\t;41.19\t;983.91\t;1517964900
23.77\t;44.61\t;983.98\t;1517964930
23.79\t;41.93\t;983.98\t;1517964960
23.79\t;43.53\t;983.96\t;1517964990
23.78\t;42.51\t;983.93\t;1517965020
23.77\t;42.96\t;983.99\t;1517965050
23.78\t;42.69\t;984.03\t;1517965080
23.78\t;43.32\t;983.99\t;1517965110
23.79\t;42.76\t;984.01\t;1517965140
23.79\t;43.09\t;983.93\t;1517965170
23.78\t;43.83\t;984.00\t;1517965200
23.79\t;43.88\t;984.01\t;1517965230
23.08\t;43.39\t;983.90\t;1517965260
23.08\t;43.43\t;983.88\t;1517965290
23.08\t;44.45\t;983.93\t;1517965320
23.81\t;45.11\t;983.95\t;1517965350
23.79\t;44.21\t;983.94\t;1517965380
23.78\t;42.91\t;983.94\t;1517965410
23.77\t;44.08\t;983.92\t;1517965440
23.77\t;44.24\t;983.97\t;1517965470
23.76\t;43.40\t;983.91\t;1517965500
23.74\t;41.99\t;983.91\t;1517965530
23.76\t;43.69\t;983.94\t;1517965560
23.76\t;43.48\t;983.89\t;1517965590
23.76\t;45.37\t;983.81\t;1517965620
23.75\t;44.84\t;983.89\t;1517965650
23.75\t;44.30\t;983.94\t;1517965680
23.75\t;44.57\t;984.00\t;1517965710
23.74\t;44.46\t;983.94\t;1517965740
23.76\t;44.58\t;983.91\t;1517965770
23.75\t;44.70\t;984.05\t;1517965800
23.75\t;43.80\t;983.99\t;1517965830
23.73\t;41.57\t;983.89\t;1517965860
23.72\t;43.25\t;984.03\t;1517965890
23.74\t;44.47\t;984.00\t;1517965920
23.74\t;42.20\t;983.93\t;1517965950
23.75\t;43.33\t;983.94\t;1517965980
23.72\t;43.44\t;984.04\t;1517966010
23.73\t;42.91\t;983.96\t;1517966040
23.72\t;44.36\t;984.00\t;1517966070
23.72\t;44.57\t;983.92\t;1517966100
23.74\t;42.55\t;983.96\t;1517966130
23.74\t;43.11\t;984.00\t;1517966160
23.73\t;41.28\t;983.88\t;1517966190
23.74\t;44.06\t;983.96\t;1517966220
23.75\t;41.78\t;983.95\t;1517966250
23.73\t;43.53\t;983.96\t;1517966280
23.71\t;43.34\t;984.01\t;1517966310
23.72\t;43.20\t;983.87\t;1517966340
23.72\t;44.64\t;983.90\t;1517966370
23.73\t;43.60\t;983.95\t;1517966400
23.73\t;43.37\t;983.89\t;1517966430
23.72\t;44.72\t;983.93\t;1517966460
23.73\t;43.41\t;983.93\t;1517966490
23.72\t;43.87\t;983.89\t;1517966520
23.72\t;43.83\t;983.90\t;1517966550
23.71\t;44.93\t;983.88\t;1517966580
23.07\t;42.00\t;983.90\t;1517966610
23.1\t;41.48\t;982.16\t;1517966640
23.12\t;42.21\t;982.20\t;1517966670
23.11\t;42.51\t;982.21\t;1517966700
23.09\t;42.41\t;982.19\t;1517966730
23.1\t;42.57\t;982.15\t;1517966760
23.08\t;44.03\t;982.13\t;1517966790
23.07\t;41.88\t;982.13\t;1517966820
23.08\t;41.86\t;982.17\t;1517966850
23.07\t;41.54\t;982.18\t;1517966880
23.07\t;41.68\t;982.17\t;1517966910
23.09\t;42.38\t;982.10\t;1517966940
23.09\t;42.38\t;982.12\t;1517966970
23.08\t;42.64\t;982.08\t;1517967000
23.07\t;41.60\t;982.05\t;1517967030
23.08\t;41.50\t;982.15\t;1517967060
23.08\t;42.58\t;982.12\t;1517967090
23.11\t;41.47\t;982.07\t;1517967120
23.11\t;42.29\t;982.12\t;1517967150
23.1\t;42.22\t;981.99\t;1517967180
23.1\t;42.50\t;982.01\t;1517967210
23.11\t;42.65\t;982.04\t;1517967240
23.11\t;42.51\t;981.98\t;1517967270
23.1\t;42.84\t;982.06\t;1517967300
23.11\t;43.34\t;982.03\t;1517967330
23.12\t;43.25\t;982.09\t;1517967360
23.11\t;42.01\t;981.99\t;1517967390
23.11\t;42.25\t;981.99\t;1517967420
23.11\t;43.70\t;981.98\t;1517967450
23.12\t;42.42\t;981.96\t;1517967480
23.11\t;42.29\t;982.05\t;1517967510
23.11\t;43.30\t;981.97\t;1517967540
23.1\t;43.37\t;981.96\t;1517967570
23.11\t;43.13\t;981.98\t;1517967600
23.12\t;40.61\t;981.96\t;1517967630
23.1\t;43.69\t;981.99\t;1517967660
23.12\t;42.63\t;981.98\t;1517967690
23.13\t;43.48\t;981.92\t;1517967720
23.13\t;43.86\t;981.94\t;1517967750
23.13\t;43.50\t;981.89\t;1517967780
23.13\t;42.38\t;981.94\t;1517967810
23.14\t;43.21\t;981.90\t;1517967840
23.14\t;42.31\t;981.90\t;1517967870
23.15\t;42.50\t;981.92\t;1517967900
23.15\t;42.42\t;981.93\t;1517967930
23.14\t;42.51\t;981.90\t;1517967960
23.15\t;43.46\t;981.81\t;1517967990
23.15\t;43.13\t;981.89\t;1517968020
23.13\t;43.28\t;981.90\t;1517968050
23.13\t;43.38\t;981.85\t;1517968080
23.13\t;44.26\t;981.83\t;1517968110
23.14\t;43.79\t;981.87\t;1517968140
23.13\t;42.65\t;981.87\t;1517968170
23.11\t;42.28\t;981.90\t;1517968200
23.12\t;43.34\t;981.91\t;1517968230
23.14\t;43.47\t;981.89\t;1517968260
23.13\t;43.57\t;981.85\t;1517968290
23.13\t;40.58\t;981.77\t;1517968320
23.14\t;44.07\t;981.90\t;1517968350
23.12\t;42.88\t;981.87\t;1517968380
23.13\t;43.47\t;981.92\t;1517968410
23.13\t;43.26\t;981.83\t;1517968440
23.14\t;43.06\t;981.83\t;1517968470
23.13\t;42.79\t;981.82\t;1517968500
23.12\t;42.47\t;981.81\t;1517968530
23.15\t;43.52\t;981.85\t;1517968560
23.14\t;42.19\t;981.86\t;1517968590
23.15\t;42.84\t;981.78\t;1517968620
23.13\t;40.96\t;981.74\t;1517968650
23.14\t;42.76\t;981.77\t;1517968680
23.14\t;41.25\t;981.77\t;1517968710
23.15\t;43.77\t;981.78\t;1517968740
23.16\t;42.68\t;981.68\t;1517968770
23.16\t;42.59\t;981.75\t;1517968800
23.15\t;41.58\t;981.77\t;1517968830
23.13\t;42.72\t;981.71\t;1517968860
23.13\t;42.77\t;981.71\t;1517968890
23.15\t;42.71\t;981.78\t;1517968920
23.14\t;45.18\t;981.81\t;1517968950
23.13\t;42.82\t;981.73\t;1517968980
23.15\t;43.73\t;981.74\t;1517969010
23.14\t;42.70\t;981.71\t;1517969040
23.14\t;42.67\t;981.76\t;1517969070
23.16\t;42.48\t;981.68\t;1517969100
23.15\t;42.15\t;981.77\t;1517969130
23.15\t;42.01\t;981.83\t;1517969160
23.16\t;42.79\t;981.72\t;1517969190
23.15\t;42.49\t;981.81\t;1517969220
23.14\t;42.74\t;981.74\t;1517969250
23.14\t;41.85\t;981.75\t;1517969280
23.15\t;42.34\t;981.75\t;1517969310
23.16\t;42.74\t;981.77\t;1517969340
23.15\t;42.10\t;981.67\t;1517969370
23.17\t;42.95\t;981.72\t;1517969400
23.17\t;43.08\t;981.70\t;1517969430
23.17\t;41.56\t;981.72\t;1517969460
23.17\t;42.73\t;981.70\t;1517969490
23.15\t;43.09\t;981.77\t;1517969520
23.16\t;44.51\t;981.67\t;1517969550
23.16\t;42.47\t;981.70\t;1517969580
23.16\t;42.73\t;981.72\t;1517969610
23.16\t;41.47\t;981.72\t;1517969640
23.16\t;43.05\t;981.72\t;1517969670
23.17\t;42.30\t;981.77\t;1517969700
23.15\t;44.23\t;981.73\t;1517969730
23.15\t;42.70\t;981.68\t;1517969760
23.14\t;46.16\t;981.75\t;1517969790
23.14\t;42.68\t;981.74\t;1517969820
23.14\t;42.04\t;981.74\t;1517969850
23.14\t;42.52\t;981.72\t;1517969880
23.15\t;41.26\t;981.69\t;1517969910
23.15\t;43.12\t;981.75\t;1517969940
23.15\t;42.85\t;981.71\t;1517969970
23.14\t;42.77\t;981.73\t;1517970000
23.15\t;43.40\t;981.76\t;1517970030
23.15\t;42.67\t;981.69\t;1517970060
23.17\t;41.53\t;981.66\t;1517970090
23.18\t;43.30\t;981.63\t;1517970120
23.19\t;42.71\t;981.67\t;1517970150
23.18\t;41.74\t;981.63\t;1517970180
23.19\t;42.37\t;981.63\t;1517970210
23.21\t;42.06\t;981.69\t;1517970240
23.2\t;43.43\t;981.71\t;1517970270
23.2\t;42.32\t;981.74\t;1517970300
23.2\t;41.80\t;981.70\t;1517970330
23.22\t;43.02\t;981.73\t;1517970360
23.22\t;41.72\t;981.71\t;1517970390
23.21\t;43.29\t;981.68\t;1517970420
23.22\t;43.22\t;981.72\t;1517970450
23.19\t;42.95\t;981.66\t;1517970480
23.2\t;44.68\t;981.71\t;1517970510
23.2\t;42.38\t;981.70\t;1517970540
23.18\t;43.88\t;981.73\t;1517970570
23.19\t;43.15\t;981.68\t;1517970600
23.18\t;43.07\t;981.69\t;1517970630
23.17\t;43.09\t;981.66\t;1517970660
23.18\t;41.99\t;981.67\t;1517970690
23.19\t;43.06\t;981.64\t;1517970720
23.2\t;41.77\t;981.73\t;1517970750
23.21\t;42.99\t;981.66\t;1517970780
23.2\t;42.25\t;981.74\t;1517970810
23.2\t;44.07\t;981.68\t;1517970840
23.19\t;43.39\t;981.70\t;1517970870
23.21\t;43.20\t;981.66\t;1517970900
23.23\t;43.93\t;981.68\t;1517970930
23.23\t;42.36\t;981.60\t;1517970960
23.22\t;43.13\t;981.75\t;1517970990
23.23\t;43.70\t;981.71\t;1517971020
23.23\t;43.48\t;981.67\t;1517971050
23.23\t;44.18\t;981.65\t;1517971080
23.23\t;44.00\t;981.71\t;1517971110
23.23\t;42.75\t;981.68\t;1517971140
23.22\t;44.04\t;981.79\t;1517971170
23.23\t;44.33\t;981.75\t;1517971200
23.21\t;43.89\t;981.74\t;1517971230
23.2\t;43.96\t;981.71\t;1517971260
23.19\t;41.97\t;981.70\t;1517971290
23.19\t;43.14\t;981.69\t;1517971320
23.18\t;44.46\t;981.73\t;1517971350
23.18\t;44.39\t;981.67\t;1517971380
23.21\t;43.71\t;981.65\t;1517971410
23.21\t;43.23\t;981.68\t;1517971440
23.19\t;41.96\t;981.70\t;1517971470
23.2\t;42.92\t;981.63\t;1517971500
23.19\t;42.68\t;981.66\t;1517971530
23.18\t;43.30\t;981.60\t;1517971560
23.2\t;43.18\t;981.63\t;1517971590
23.19\t;42.07\t;981.60\t;1517971620
23.2\t;44.30\t;981.69\t;1517971650
23.19\t;42.96\t;981.65\t;1517971680
23.21\t;41.63\t;981.67\t;1517971710
23.18\t;44.09\t;981.65\t;1517971740
23.17\t;43.16\t;981.58\t;1517971770
23.17\t;43.17\t;981.64\t;1517971800
23.15\t;43.10\t;981.52\t;1517971830
23.14\t;43.31\t;981.64\t;1517971860
23.14\t;44.35\t;981.52\t;1517971890
23.15\t;42.45\t;981.54\t;1517971920
23.13\t;41.78\t;981.52\t;1517971950
23.16\t;43.20\t;981.52\t;1517971980
23.14\t;43.16\t;981.47\t;1517972010
23.15\t;42.16\t;981.46\t;1517972040
23.15\t;42.46\t;981.57\t;1517972070
23.16\t;42.38\t;981.48\t;1517972100
23.17\t;42.73\t;981.49\t;1517972130
23.16\t;43.30\t;981.48\t;1517972160
23.16\t;43.44\t;981.47\t;1517972190
23.16\t;42.01\t;981.51\t;1517972220
23.17\t;40.19\t;981.46\t;1517972250
23.17\t;42.40\t;981.43\t;1517972280
23.14\t;42.91\t;981.43\t;1517972310
23.16\t;43.73\t;981.50\t;1517972340
23.15\t;43.13\t;981.49\t;1517972370
23.15\t;41.90\t;981.47\t;1517972400
23.13\t;44.35\t;981.45\t;1517972430
23.13\t;42.81\t;981.50\t;1517972460
23.14\t;41.90\t;981.46\t;1517972490
23.13\t;42.93\t;981.49\t;1517972520
23.13\t;41.42\t;981.48\t;1517972550
23.12\t;42.36\t;981.44\t;1517972580
23.14\t;42.77\t;981.47\t;1517972610
23.14\t;42.39\t;981.50\t;1517972640
23.14\t;42.16\t;981.51\t;1517972670
23.15\t;41.95\t;981.52\t;1517972700
23.16\t;42.54\t;981.55\t;1517972730
23.12\t;39.26\t;981.50\t;1517972760
23.13\t;43.36\t;981.45\t;1517972790
23.11\t;42.16\t;981.48\t;1517972820
23.13\t;42.78\t;981.47\t;1517972850
23.13\t;42.15\t;981.44\t;1517972880
23.14\t;41.28\t;981.44\t;1517972910
23.13\t;42.18\t;981.40\t;1517972940
23.14\t;43.97\t;981.44\t;1517972970
23.16\t;43.69\t;981.44\t;1517973000
23.15\t;41.47\t;981.38\t;1517973030
23.14\t;42.98\t;981.39\t;1517973060
23.14\t;41.58\t;981.47\t;1517973090
23.15\t;42.84\t;981.39\t;1517973120
23.15\t;42.55\t;981.42\t;1517973150
23.14\t;43.81\t;981.44\t;1517973180
23.15\t;43.60\t;981.50\t;1517973210
23.15\t;43.94\t;981.41\t;1517973240
23.14\t;42.10\t;981.43\t;1517973270
23.14\t;43.20\t;981.42\t;1517973300
23.12\t;42.74\t;981.40\t;1517973330
23.12\t;43.01\t;981.43\t;1517973360
23.12\t;43.08\t;981.38\t;1517973390
23.12\t;44.56\t;981.38\t;1517973420
23.13\t;43.25\t;981.42\t;1517973450
23.13\t;43.29\t;981.37\t;1517973480
23.12\t;43.06\t;981.38\t;1517973510
23.14\t;42.68\t;981.38\t;1517973540
23.15\t;43.03\t;981.36\t;1517973570
23.14\t;44.02\t;981.37\t;1517973600
23.16\t;43.72\t;981.46\t;1517973630
23.17\t;42.83\t;981.40\t;1517973660
23.15\t;44.59\t;981.36\t;1517973690
23.15\t;43.63\t;981.40\t;1517973720
23.15\t;44.13\t;981.39\t;1517973750
23.15\t;43.71\t;981.33\t;1517973780
23.14\t;44.87\t;981.40\t;1517973810
23.14\t;43.69\t;981.43\t;1517973840
23.15\t;43.79\t;981.34\t;1517973870
23.14\t;44.90\t;981.33\t;1517973900
23.13\t;43.17\t;981.35\t;1517973930
23.12\t;43.61\t;981.29\t;1517973960
23.13\t;42.86\t;981.30\t;1517973990
23.13\t;43.60\t;981.28\t;1517974020
23.14\t;44.12\t;981.34\t;1517974050
23.14\t;43.57\t;981.24\t;1517974080
23.13\t;42.62\t;981.30\t;1517974110
23.14\t;43.48\t;981.24\t;1517974140
23.14\t;43.75\t;981.25\t;1517974170
23.14\t;42.32\t;981.24\t;1517974200
23.13\t;42.36\t;981.19\t;1517974230
23.14\t;42.09\t;981.32\t;1517974260
23.14\t;42.11\t;981.26\t;1517974290
23.14\t;43.71\t;981.15\t;1517974320
23.15\t;43.51\t;981.22\t;1517974350
23.14\t;43.41\t;981.12\t;1517974380
23.15\t;45.20\t;981.10\t;1517974410
23.13\t;44.37\t;981.17\t;1517974440
23.15\t;43.46\t;981.16\t;1517974470
23.14\t;44.28\t;981.16\t;1517974500
23.12\t;43.38\t;981.24\t;1517974530
23.14\t;41.91\t;981.19\t;1517974560
23.12\t;43.47\t;981.13\t;1517974590
23.15\t;43.61\t;981.19\t;1517974620
23.13\t;42.58\t;981.18\t;1517974650
23.15\t;43.35\t;981.22\t;1517974680
23.14\t;43.36\t;981.19\t;1517974710
23.15\t;43.45\t;981.16\t;1517974740
23.13\t;43.37\t;981.08\t;1517974770
23.13\t;42.76\t;981.10\t;1517974800
23.14\t;43.80\t;981.07\t;1517974830
23.13\t;43.53\t;981.11\t;1517974860
23.13\t;43.69\t;981.03\t;1517974890
23.13\t;43.47\t;981.10\t;1517974920
23.12\t;42.84\t;981.12\t;1517974950
23.13\t;42.83\t;981.08\t;1517974980
23.13\t;43.42\t;981.10\t;1517975010
23.13\t;44.59\t;981.10\t;1517975040
23.15\t;44.88\t;981.16\t;1517975070
23.14\t;42.12\t;981.14\t;1517975100
23.15\t;44.20\t;981.08\t;1517975130
23.14\t;44.49\t;981.01\t;1517975160
23.15\t;44.04\t;981.11\t;1517975190
23.16\t;43.98\t;981.03\t;1517975220
23.17\t;43.74\t;981.07\t;1517975250
23.16\t;44.21\t;981.09\t;1517975280
23.14\t;44.49\t;981.15\t;1517975310
23.14\t;44.17\t;981.12\t;1517975340
23.14\t;43.20\t;981.07\t;1517975370
23.14\t;44.70\t;981.08\t;1517975400
23.14\t;43.60\t;981.07\t;1517975430
23.14\t;43.38\t;981.11\t;1517975460
23.15\t;43.91\t;981.13\t;1517975490
23.12\t;43.56\t;981.02\t;1517975520
23.14\t;43.56\t;981.05\t;1517975550
23.13\t;43.92\t;981.03\t;1517975580
23.11\t;44.13\t;981.01\t;1517975610
23.13\t;42.10\t;980.94\t;1517975640
23.14\t;43.46\t;981.01\t;1517975670
23.14\t;43.96\t;981.00\t;1517975700
23.14\t;43.47\t;981.00\t;1517975730
23.13\t;43.36\t;981.01\t;1517975760
23.14\t;43.48\t;981.07\t;1517975790
23.13\t;44.74\t;981.07\t;1517975820
23.13\t;45.51\t;981.05\t;1517975850
23.16\t;44.15\t;981.02\t;1517975880
23.16\t;42.95\t;981.01\t;1517975910
23.17\t;42.90\t;981.04\t;1517975940
23.17\t;43.55\t;981.13\t;1517975970
23.17\t;43.62\t;981.01\t;1517976000
23.16\t;43.76\t;980.98\t;1517976030
23.17\t;43.46\t;981.03\t;1517976060
23.16\t;43.41\t;981.02\t;1517976090
23.15\t;44.99\t;981.06\t;1517976120
23.15\t;43.92\t;981.04\t;1517976150
23.16\t;44.33\t;981.02\t;1517976180
23.16\t;43.75\t;980.99\t;1517976210
23.17\t;43.38\t;981.04\t;1517976240
23.16\t;45.18\t;981.10\t;1517976270
23.16\t;43.66\t;981.04\t;1517976300
23.16\t;42.40\t;981.03\t;1517976330
23.16\t;44.21\t;980.95\t;1517976360
23.14\t;43.40\t;981.04\t;1517976390
23.17\t;43.55\t;981.03\t;1517976420
23.17\t;43.55\t;981.02\t;1517976450
23.17\t;43.53\t;981.01\t;1517976480
23.15\t;43.58\t;981.04\t;1517976510
23.13\t;42.84\t;981.07\t;1517976540
23.12\t;42.15\t;981.09\t;1517976570
23.13\t;43.56\t;981.10\t;1517976600
23.14\t;42.97\t;981.05\t;1517976630
23.16\t;44.48\t;981.10\t;1517976660
23.14\t;43.97\t;981.04\t;1517976690
23.13\t;44.05\t;981.08\t;1517976720
23.12\t;42.69\t;981.03\t;1517976750
23.12\t;44.14\t;981.01\t;1517976780
23.11\t;43.97\t;981.04\t;1517976810
23.11\t;43.58\t;981.03\t;1517976840
23.12\t;43.39\t;981.11\t;1517976870
23.14\t;43.57\t;981.07\t;1517976900
23.15\t;43.15\t;981.12\t;1517976930
23.15\t;44.10\t;981.02\t;1517976960
23.14\t;43.82\t;981.04\t;1517976990
23.15\t;44.73\t;981.06\t;1517977020
23.15\t;43.95\t;981.04\t;1517977050
23.15\t;43.48\t;981.07\t;1517977080
23.14\t;42.73\t;981.07\t;1517977110
23.15\t;45.00\t;981.09\t;1517977140
23.15\t;44.28\t;981.08\t;1517977170
23.15\t;44.05\t;981.09\t;1517977200
23.14\t;42.62\t;981.10\t;1517977230
23.15\t;44.47\t;981.13\t;1517977260
23.16\t;43.82\t;981.13\t;1517977290
23.14\t;44.18\t;981.15\t;1517977320
23.13\t;44.19\t;981.07\t;1517977350
23.14\t;43.66\t;981.04\t;1517977380
23.14\t;43.45\t;981.07\t;1517977410
23.13\t;44.88\t;981.08\t;1517977440
23.12\t;42.98\t;981.14\t;1517977470
23.14\t;43.64\t;981.09\t;1517977500
23.14\t;43.06\t;981.07\t;1517977530
23.13\t;43.35\t;981.03\t;1517977560
23.12\t;43.01\t;980.96\t;1517977590
23.13\t;44.05\t;981.05\t;1517977620
23.11\t;42.66\t;980.96\t;1517977650
23.12\t;44.06\t;981.06\t;1517977680
23.12\t;45.22\t;981.06\t;1517977710
23.14\t;43.24\t;980.96\t;1517977740
23.13\t;42.33\t;981.07\t;1517977770
23.15\t;43.35\t;981.09\t;1517977800
23.14\t;41.98\t;980.97\t;1517977830
23.12\t;42.72\t;980.94\t;1517977860
23.13\t;43.41\t;981.02\t;1517977890
23.12\t;42.28\t;981.07\t;1517977920
23.13\t;44.57\t;980.99\t;1517977950
23.14\t;42.87\t;981.03\t;1517977980
23.16\t;42.91\t;981.09\t;1517978010
23.16\t;43.51\t;981.12\t;1517978040
23.15\t;43.80\t;981.06\t;1517978070
23.15\t;44.05\t;981.09\t;1517978100
23.15\t;43.04\t;981.10\t;1517978130
23.13\t;44.76\t;981.05\t;1517978160
23.13\t;43.98\t;981.04\t;1517978190
23.14\t;44.52\t;981.07\t;1517978220
23.12\t;43.68\t;981.03\t;1517978250
23.12\t;42.13\t;981.08\t;1517978280
23.14\t;42.50\t;981.08\t;1517978310
23.13\t;43.95\t;981.06\t;1517978340
23.14\t;44.54\t;981.06\t;1517978370
23.14\t;42.69\t;981.11\t;1517978400
23.14\t;43.00\t;981.15\t;1517978430
23.15\t;43.55\t;981.05\t;1517978460
23.14\t;43.56\t;981.08\t;1517978490
23.14\t;43.59\t;981.04\t;1517978520
3.05\t;981.72\t;3030;1517978550
23.17\t;42.30\t;981.77\t;1517978580
23.15\t;44.23\t;981.73\t;1517978610
23.15\t;42.70\t;981.68\t;1517978640
23.14\t;46.16\t;981.75\t;1517978670
23.14\t;42.68\t;981.74\t;1517978700
23.14\t;42.04\t;981.74\t;1517978730
23.14\t;42.52\t;981.72\t;1517978760
23.15\t;41.26\t;981.69\t;1517978790
23.15\t;43.12\t;981.75\t;1517978820
23.15\t;42.85\t;981.71\t;1517978850
23.14\t;42.77\t;981.73\t;1517978880
23.15\t;43.40\t;981.76\t;1517978910
23.15\t;42.67\t;981.69\t;1517978940
23.17\t;41.53\t;981.66\t;1517978970
23.18\t;43.30\t;981.63\t;1517979000
23.19\t;42.71\t;981.67\t;1517979030
23.18\t;41.74\t;981.63\t;1517979060
23.19\t;42.37\t;981.63\t;1517979090
23.21\t;42.06\t;981.69\t;1517979120
23.2\t;43.43\t;981.71\t;1517979150
23.2\t;42.32\t;981.74\t;1517979180
23.2\t;41.80\t;981.70\t;1517979210
23.22\t;43.02\t;981.73\t;1517979240
23.22\t;41.72\t;981.71\t;1517979270
23.21\t;43.29\t;981.68\t;1517979300
23.22\t;43.22\t;981.72\t;1517979330
23.19\t;42.95\t;981.66\t;1517979360
23.2\t;44.68\t;981.71\t;1517979390
23.2\t;42.38\t;981.70\t;1517979420
23.18\t;43.88\t;981.73\t;1517979450
23.19\t;43.15\t;981.68\t;1517979480
23.18\t;43.07\t;981.69\t;1517979510
23.17\t;43.09\t;981.66\t;1517979540
23.18\t;41.99\t;981.67\t;1517979570
23.19\t;43.06\t;981.64\t;1517979600
23.2\t;41.77\t;981.73\t;1517979630
23.21\t;42.99\t;981.66\t;1517979660
23.2\t;42.25\t;981.74\t;1517979690
23.2\t;44.07\t;981.68\t;1517979720
23.19\t;43.39\t;981.70\t;1517979750
