Temperature\t;Humidity\t;Pressure\t;Time
23.78\t;43.16\t;984.26\t;1517961600
23.79\t;44.23\t;984.37\t;1517961630
23.79\t;43.52\t;984.28\t;1517961660
23.78\t;42.52\t;984.19\t;1517961690
23.79\t;42.47\t;984.31\t;1517961720
23.81\t;41.57\t;984.31\t;1517961750
23.79\t;42.54\t;984.26\t;1517961780
23.79\t;43.03\t;984.33\t;1517961810
23.79\t;43.33\t;984.22\t;1517961840
23.08\t;44.69\t;984.19\t;1517961870
23.08\t;41.60\t;984.19\t;1517961900
23.82\t;42.19\t;984.19\t;1517961930
23.08\t;43.44\t;984.29\t;1517961960
23.82\t;44.21\t;984.19\t;1517961990
23.08\t;42.44\t;984.34\t;1517962020
23.08\t;44.10\t;984.24\t;1517962050
23.08\t;43.32\t;984.32\t;1517962080
23.79\t;43.03\t;984.23\t;1517962110
23.81\t;44.56\t;984.27\t;1517962140
23.81\t;42.85\t;984.30\t;1517962170
23.81\t;44.81\t;984.21\t;1517962200
23.08\t;43.45\t;984.24\t;1517962230
23.79\t;44.70\t;984.29\t;1517962260
23.79\t;43.63\t;984.31\t;1517962290
23.08\t;42.22\t;984.22\t;1517962320
23.79\t;42.68\t;984.25\t;1517962350
23.79\t;42.94\t;984.18\t;1517962380
23.77\t;43.71\t;984.20\t;1517962410
23.77\t;45.78\t;984.23\t;1517962440
23.78\t;42.66\t;984.27\t;1517962470
23.77\t;43.08\t;984.16\t;1517962500
23.77\t;41.75\t;984.20\t;1517962530
23.78\t;44.94\t;984.13\t;1517962560
23.76\t;42.20\t;984.16\t;1517962590
23.77\t;44.96\t;984.25\t;1517962620
23.77\t;43.39\t;984.25\t;1517962650
23.78\t;43.42\t;984.25\t;1517962680
23.79\t;42.68\t;984.26\t;1517962710
23.78\t;42.43\t;984.22\t;1517962740
23.77\t;43.95\t;984.25\t;1517962770
23.77\t;42.57\t;984.21\t;1517962800
23.78\t;44.30\t;984.29\t;1517962830
23.78\t;43.88\t;984.12\t;1517962860
23.77\t;43.82\t;984.26\t;1517962890
23.77\t;43.90\t;984.23\t;1517962920
23.78\t;45.37\t;984.19\t;1517962950
23.78\t;43.55\t;984.18\t;1517962980
23.77\t;44.28\t;984.22\t;1517963010
23.76\t;45.11\t;984.29\t;1517963040
23.76\t;43.44\t;984.17\t;1517963070
23.76\t;41.92\t;984.29\t;1517963100
23.78\t;43.89\t;984.25\t;1517963130
23.77\t;43.53\t;984.24\t;1517963160
23.78\t;43.78\t;984.19\t;1517963190
23.77\t;41.95\t;984.23\t;1517963220
23.78\t;42.83\t;984.18\t;1517963250
23.78\t;43.44\t;984.25\t;1517963280
23.77\t;43.72\t;984.25\t;1517963310
23.77\t;45.51\t;984.20\t;1517963340
23.78\t;43.78\t;984.22\t;1517963370
23.78\t;42.60\t;984.21\t;1517963400
23.78\t;43.22\t;984.17\t;1517963430
23.78\t;41.46\t;984.20\t;1517963460
23.78\t;43.49\t;984.18\t;1517963490
23.78\t;42.22\t;984.15\t;1517963520
23.78\t;43.91\t;984.17\t;1517963550
23.77\t;44.21\t;984.19\t;1517963580
23.79\t;43.61\t;984.09\t;1517963610
23.78\t;45.50\t;984.18\t;1517963640
23.78\t;42.13\t;984.15\t;1517963670
23.79\t;42.66\t;984.16\t;1517963700
23.77\t;43.36\t;984.12\t;1517963730
23.78\t;42.15\t;984.19\t;1517963760
23.78\t;44.30\t;984.17\t;1517963790
23.78\t;44.45\t;984.20\t;1517963820
23.79\t;43.06\t;984.25\t;1517963850
23.79\t;43.43\t;984.12\t;1517963880
23.08\t;43.71\t;984.15\t;1517963910
23.08\t;43.58\t;984.03\t;1517963940
23.81\t;43.87\t;984.13\t;1517963970
23.08\t;42.92\t;984.23\t;1517964000
23.78\t;42.91\t;984.07\t;1517964030
23.79\t;41.66\t;984.17\t;1517964060
23.78\t;44.24\t;984.15\t;1517964090
23.79\t;42.43\t;984.04\t;1517964120
23.78\t;41.82\t;984.16\t;1517964150
