UV;IR;VIS;Time
0.02;252;263;0
0.06;252;253;30
0.02;255;254;60
0.0;253;251;90
0.05;250;252;120
0.03;254;261;150
0.0;249;257;180
0.0;256;265;210
0.0;257;258;240
0.02;250;251;270
0.01;248;256;300
0.0;253;236;330
0.0;253;267;360
0.06;254;255;390
0.0;249;259;420
0.0;257;254;450
0.0;258;257;480
0.05;256;261;510
0.0;254;271;540
0.0;256;254;570
0.0;255;257;600
0.0;253;260;630
0.0;256;260;660
0.0;250;238;690
0.08;252;259;720
0.0;252;262;750
0.02;248;266;780
0.0;254;259;810
0.01;250;259;840
0.0;252;252;870
0.04;255;259;900
0.03;250;254;930
0.0;250;255;960
0.02;255;248;990
0.0;254;258;1020
0.05;252;251;1050
0.0;247;258;1080
0.0;254;254;1110
0.01;253;263;1140
0.0;254;257;1170
0.07;256;268;1200
0.0;248;249;1230
0.05;251;265;1260
0.04;256;251;1290
0.0;259;262;1320
0.02;250;263;1350
0.02;255;261;1380
0.0;249;246;1410
0.01;252;252;1440
0.05;247;262;1470
0.0;253;247;1500
0.0;251;267;1530
0.01;259;259;1560
0.04;255;259;1590
0.0;251;253;1620
0.0;257;252;1650
0.07;252;258;1680
0.02;255;261;1710
0.02;252;253;1740
0.02;251;255;1770
0.0;253;258;1800
0.05;251;267;1830
0.03;253;259;1860
0.02;254;254;1890
0.0;255;267;1920
0.02;249;255;1950
0.03;249;263;1980
0.05;255;253;2010
0.0;258;269;2040
0.0;257;263;2070
0.0;252;260;2100
0.07;253;263;2130
0.05;251;260;2160
0.02;254;260;2190
0.01;250;263;2220
0.02;256;256;2250
0.0;254;254;2280
0.04;249;255;2310
0.01;250;259;2340
0.0;250;258;2370
0.05;256;256;2400
0.0;254;257;2430
0.0;256;256;2460
0.01;252;265;2490
0.02;252;260;2520
0.05;254;264;2550
0.0;252;262;2580
0.01;256;264;2610
0.0;251;260;2640
0.05;256;253;2670
0.05;254;263;2700
0.0;253;247;2730
0.0;255;263;2760
0.0;249;252;2790
0.02;258;264;2820
0.02;250;260;2850
0.0;255;259;2880
0.07;248;266;2910
0.0;254;257;2940
0.03;251;252;2970
0.03;251;250;3000
0.01;253;261;3030
0.0;255;248;3060
0.01;251;263;3090
0.02;252;256;3120
0.0;252;261;3150
0.01;253;254;3180
0.05;249;271;3210
0.0;260;247;3240
0.06;257;260;3270
0.0;247;264;3300
0.01;252;260;3330
0.01;248;262;3360
0.0;250;276;3390
0.02;253;270;3420
0.01;257;265;3450
0.0;252;257;3480
0.0;253;247;3510
0.0;253;261;3540
0.02;250;253;3570
0.0;250;264;3600
0.03;250;255;3630
0.04;256;265;3660
0.0;257;264;3690
0.0;254;255;3720
0.0;250;263;3750
0.04;251;254;3780
0.01;250;247;3810
0.02;257;263;3840
0.0;252;266;3870
0.02;254;253;3900
0.02;251;254;3930
0.0;249;260;3960
0.0;249;257;3990
0.01;252;259;4020
0.02;255;261;4050
0.05;256;254;4080
0.01;253;253;4110
0.0;255;259;4140
0.01;257;263;4170
0.02;255;263;4200
0.0;257;264;4230
0.01;258;273;4260
0.0;253;268;4290
0.01;256;272;4320
0.02;251;261;4350
0.05;255;256;4380
0.02;246;259;4410
0.04;252;259;4440
0.0;253;263;4470
0.07;253;259;4500
0.01;251;256;4530
0.01;251;262;4560
0.03;250;275;4590
0.0;258;260;4620
0.04;252;249;4650
0.04;252;269;4680
0.0;259;264;4710
